Num	blocknumber	date	balance	blocknumber	Type	Amount	Count	DAI Balance	Claim Balance	Claim Count
235	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.49726E+20	1	0.00	"10,314.50"	235
236	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.5985E+20	1	0.00	"10,474.35"	236
237	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.63406E+20	1	0.00	"10,637.76"	237
238	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.69649E+20	1	0.00	"10,807.41"	238
239	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.72351E+20	1	0.00	"10,979.76"	239
240	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.75316E+20	1	0.00	"11,155.08"	240
241	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.79484E+20	1	0.00	"11,334.56"	241
242	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.79485E+20	1	0.00	"11,514.05"	242
243	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.04788E+20	1	0.00	"11,718.83"	243
244	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.11341E+20	1	0.00	"11,930.17"	244
245	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.15628E+20	1	0.00	"12,145.80"	245
246	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.21071E+20	1	0.00	"12,366.87"	246
247	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.23765E+20	1	0.00	"12,590.64"	247
248	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.27516E+20	1	0.00	"12,818.15"	248
249	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.41266E+20	1	0.00	"13,059.42"	249
250	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.45098E+20	1	0.00	"13,304.52"	250
251	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.48906E+20	1	0.00	"13,553.42"	251
252	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.50841E+20	1	0.00	"13,804.27"	252
253	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.63768E+20	1	0.00	"14,068.03"	253
254	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.68474E+20	1	0.00	"14,336.51"	254
255	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.83225E+20	1	0.00	"14,619.73"	255
256	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.86542E+20	1	0.00	"14,906.27"	256
257	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.06728E+20	1	0.00	"15,213.00"	257
258	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.11501E+20	1	0.00	"15,524.50"	258
259	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.20429E+20	1	0.00	"15,844.93"	259
